eventid,date,1st,2nd,3rd,4th,5th,joker
1785,19/2/2017,25,1.0,22.0,38.0,16.0,2
1784,16/2/2017,9,11.0,33.0,43.0,44.0,13
1783,12/2/2017,36,21.0,4.0,34.0,33.0,16
1782,9/2/2017,43,33.0,17.0,29.0,11.0,16
1781,5/2/2017,10,14.0,13.0,30.0,7.0,17
1780,2/2/2017,13,8.0,30.0,42.0,1.0,3
1779,29/1/2017,41,31.0,23.0,45.0,14.0,7
1778,26/1/2017,14,12.0,45.0,8.0,23.0,16
1777,22/1/2017,18,14.0,45.0,27.0,11.0,19
1776,19/1/2017,31,20.0,22.0,32.0,29.0,5
1775,15/1/2017,29,38.0,22.0,27.0,8.0,4
1774,12/1/2017,21,25.0,20.0,30.0,38.0,11
1773,8/1/2017,36,26.0,22.0,11.0,35.0,18
1772,5/1/2017,25,42.0,37.0,4.0,7.0,13
1771,1/1/2017,17,26.0,34.0,16.0,14.0,10
1770,29/12/2016,30,5.0,41.0,31.0,26.0,17
1769,24/12/2016,31,1.0,35.0,3.0,42.0,7
1768,22/12/2016,12,39.0,13.0,34.0,20.0,11
1767,18/12/2016,11,28.0,5.0,9.0,31.0,19
